SEASON,PLAYER_ID_combine,TEAM_ABBREVIATION,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV
2014,203917,SAC,Nik Stauskas,SG,77.25,78.5,206.9,79.75,102.0,12.05,8.5,8.5,29.0,35.5,10.79,2.92,3.27,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.2,1.1,2.0,0.7,0.322,4.1,1.5,0.365,0.9,0.8,0.8590000000000001,0.2,1.3,4.4,1.2,0.3,0.5
2014,203950,MEM,Jarnell Stokes,PF,79.0,80.5,262.8,85.25,103.5,8.2,9.75,10.5,31.0,36.0,11.92,3.2,3.26,,1.0,0.8,1.0,0.8,0.4,,,,,,0.6,0.2,0.0,0.4,0.6,0.6666666666666666,0.8333333333333334,0.5,,,,0.5833333333333334,,0.2,0.3,0.9,0.0,0.0,0.0,1.9,1.1,0.568,1.5,0.8,0.536,0.8,1.3,3.0,1.8,0.3,0.4
2014,203943,CHA,Noah Vonleh,PF,80.0,81.5,247.1,88.25,108.0,7.3,9.75,11.75,31.0,37.0,11.45,3.29,3.28,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.4,2.3,0.5,0.2,0.385,3.0,1.2,0.395,1.0,0.7,0.6920000000000001,1.1,0.8,3.3,3.4,0.2,0.4
2014,203933,PHX,T.J. Warren,SF,79.0,80.25,220.2,82.25,104.0,7.95,8.75,9.0,27.0,35.5,11.1,3.04,3.26,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,1.1,0.5,0.1,0.23800000000000002,5.4,2.8,0.528,0.5,0.4,0.737,1.0,1.3,6.1,2.1,0.5,0.7
2014,203912,LAC,C.J. Wilcox,SG,75.5,77.0,201.0,81.75,100.5,6.5,8.75,9.0,31.0,37.5,11.3,2.92,3.22,,,,,,,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.4,0.5,0.6666666666666666,0.3333333333333333,,,,0.6764705882352942,,0.4,0.0,0.3,0.9,0.3,0.368,1.8,0.8,0.42100000000000004,0.1,0.1,1.0,0.0,0.3,2.0,0.3,0.1,0.5
2014,203923,BOS,James Young,SG,77.25,78.75,213.3,84.0,104.0,5.1,9.0,9.5,28.0,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,1.1,2.1,0.5,0.258,3.3,1.2,0.353,0.9,0.5,0.552,0.3,0.7,3.4,1.4,0.3,0.2
2015,1626146,POR,Cliff Alexander,PF-C,79.25,80.5,239.2,87.5,109.5,5.8,9.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,0.5,0.0,0.0,0.0,1.3,0.6,0.5,0.0,0.0,0.0,0.3,0.1,1.3,0.8,0.1,0.1
2015,1626147,DAL,Justin Anderson,SF-SG,77.25,78.25,230.6,83.75,101.0,5.0,8.5,9.5,38.0,43.0,11.13,2.88,3.22,12.0,,,,,,1.0,0.4,0.2,0.8,0.8,0.6,0.6,0.6,0.0,0.0,0.875,0.75,0.75,,,,0.6666666666666666,,0.5,0.5,2.1,1.5,0.4,0.265,3.2,1.3,0.406,1.0,0.8,0.8,0.3,0.8,3.8,2.4,0.3,0.4
2015,1626164,PHX,Devin Booker,SG,76.5,77.75,205.8,80.25,102.5,8.3,8.75,9.0,27.5,34.5,10.27,2.75,3.28,8.0,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.3,2.1,3.8,1.3,0.34299999999999997,11.4,4.8,0.423,3.4,2.8,0.84,0.4,3.0,13.8,2.5,0.6,2.1
2015,1626148,LAL,Anthony Brown,SF-SG,77.75,79.25,211.0,83.0,104.5,6.1,8.5,9.0,27.5,34.5,10.94,3.29,3.18,4.0,,,,,,0.8,1.0,0.6,1.0,0.8,0.8,0.8,0.8,0.8,1.0,0.625,0.75,0.75,,,,0.6818181818181818,,0.7,0.2,2.1,2.4,0.7,0.28600000000000003,4.3,1.3,0.31,0.7,0.6,0.85,0.3,1.2,4.0,2.4,0.5,0.5
